# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.714883610588160467e-02 1.397648392978798615e-01 5.606557899593561656e-02 9.800999999999999712e-01 1.000000000000000048e-04 0.000000000000000000e+00 2.603410281911774926e-02 1.426893475658064514e-01 5.545486257461829105e-02 9.800999999999999712e-01 1.000000000000000048e-04 0.000000000000000000e+00
1.000000000000000000e+03 1.497284216477796767e-05 1.166011863249298610e-05 1.512812283857881667e-06 1.761180726388772489e-09 3.314146509605842859e-07 8.771292394483651494e-13 6.463345886517793175e-06 1.194310820377282635e-05 1.546317340071398026e-06 1.761180726388772489e-09 3.314146509605842859e-07 8.771292394483651494e-13
2.000000000000000000e+03 2.664287926594422317e-05 5.828602388132847804e-05 2.346491526516889604e-05 1.927841914904102091e-10 9.352764100328198218e-07 1.894672131244219238e-09 2.551530747583077204e-05 5.529047957294490790e-05 2.415865666445763746e-05 1.927841914904102091e-10 9.352764100328198218e-07 1.894672131244219238e-09
3.000000000000000000e+03 7.732692409654922893e-06 2.505435378815791306e-05 2.468863863359449949e-07 9.714545312702703582e-09 8.912284673747286910e-08 3.040145792027613086e-13 5.385764505355517996e-06 2.550362261771600654e-05 2.107516014776886398e-07 9.714545312702703582e-09 8.912284673747286910e-08 3.040145792027613086e-13
4.000000000000000000e+03 5.241655165172299237e-06 2.297604447518378793e-05 1.722031874777069552e-07 8.631017702672164298e-09 9.459533077491109644e-08 4.468947552393297818e-13 3.828657899450002488e-06 2.349074045706967264e-05 1.620346866607630243e-07 8.631017702672164298e-09 9.459533077491109644e-08 4.468947552393297818e-13
5.000000000000000000e+03 4.975507204615895792e-06 2.793325415494385072e-05 4.147114424560999540e-06 5.294527578546445027e-09 1.194294058451148484e-11 2.206168559237640816e-09 4.231529040403959699e-06 2.846346269787157910e-05 4.249989293080744247e-06 5.294527578546445027e-09 1.194294058451148484e-11 2.206168559237640816e-09
6.000000000000000000e+03 3.888352769276250471e-06 2.565676910394151352e-05 1.674028856985747134e-06 3.209883691251274563e-08 4.459635059346233393e-10 6.641908866136714576e-08 3.356898648086453015e-06 2.605823884814519766e-05 1.686367112738465966e-06 3.209883691251274563e-08 4.459635059346233393e-10 6.641908866136714576e-08
7.000000000000000000e+03 1.555372168268332809e-05 1.538310135648748481e-05 7.512656888244065318e-06 1.024134404834803612e-08 7.597532942251915391e-07 8.101464647926925506e-08 1.529864995035145481e-05 1.549663777429611172e-05 7.568765690135073075e-06 1.024134404834803612e-08 7.597532942251915391e-07 8.101464647926925506e-08
8.000000000000000000e+03 5.419911509894131062e-05 9.991343558706416360e-06 2.701451915204334468e-05 1.073013833551951952e-08 2.052292435224781376e-06 2.357118727571660856e-07 5.440102816768542494e-05 9.757876507719627127e-06 2.740967947220379738e-05 1.073013833551951952e-08 2.052292435224781376e-06 2.357118727571660856e-07
9.000000000000000000e+03 2.575336143639694597e-06 1.819214722526199868e-05 2.055006159156329955e-07 3.099185563997799467e-09 1.103196086567839263e-07 1.155543051096416387e-09 2.400580625888148202e-06 1.825082394399883052e-05 1.920912946269229164e-07 3.099185563997799467e-09 1.103196086567839263e-07 1.155543051096416387e-09
1.000000000000000000e+04 2.356002916345057893e-06 1.834635370486807155e-05 8.321084787544935811e-08 9.055635358138456892e-09 6.325618206091330822e-08 5.175635620554818070e-13 2.181310605610012813e-06 1.823075605368075502e-05 7.829369909476946686e-08 9.055635358138456892e-09 6.325618206091330822e-08 5.175635620554818070e-13
1.100000000000000000e+04 2.036122920758911876e-06 1.714309688439753665e-05 1.147542567421108821e-07 8.232803539216317089e-09 6.706946343722363915e-08 4.896078746486800320e-13 1.900618121585405694e-06 1.703740605657528241e-05 1.131171540803276904e-07 8.232803539216317089e-09 6.706946343722363915e-08 4.896078746486800320e-13
