0 [1.00e+01]
1000 [1.09e+01]
2000 [1.20e+01]
3000 [1.28e+01]
4000 [1.36e+01]
5000 [1.45e+01]
6000 [1.53e+01]
7000 [1.62e+01]
8000 [1.70e+01]
9000 [1.79e+01]
10000 [1.88e+01]
11000 [1.96e+01]
12000 [2.05e+01]
13000 [2.14e+01]
14000 [2.22e+01]
15000 [2.31e+01]
16000 [2.40e+01]
17000 [2.49e+01]
18000 [2.58e+01]
19000 [2.66e+01]
20000 [2.75e+01]
21000 [2.84e+01]
22000 [2.93e+01]
23000 [3.02e+01]
24000 [3.11e+01]
25000 [3.19e+01]
26000 [3.28e+01]
27000 [3.37e+01]
28000 [3.46e+01]
29000 [3.55e+01]
30000 [3.63e+01]
31000 [3.72e+01]
32000 [3.81e+01]
33000 [3.89e+01]
34000 [3.98e+01]
35000 [4.06e+01]
36000 [4.15e+01]
37000 [4.23e+01]
38000 [4.32e+01]
39000 [4.40e+01]
40000 [4.48e+01]
41000 [4.56e+01]
42000 [4.63e+01]
43000 [4.70e+01]
44000 [4.77e+01]
45000 [4.83e+01]
46000 [4.89e+01]
47000 [4.93e+01]
48000 [4.96e+01]
49000 [4.98e+01]
50000 [4.99e+01]
51000 [5.00e+01]
52000 [5.00e+01]
53000 [5.00e+01]
54000 [5.01e+01]
55000 [5.01e+01]
56000 [5.01e+01]
57000 [5.01e+01]
58000 [5.01e+01]
59000 [5.01e+01]
60000 [5.02e+01]
